item_id,borrower_id,origination_date,maturity_date,outstanding_amount,undrawn_commitment,interest_rate,sector,collateral_value,collateral_type,credit_score,days_past_due,times_past_due_12m,is_forborne,is_restructured,current_stage,product_type,currency,country
LOAN001,BORR001,2020-01-15,2025-01-15,1000000,500000,5.5,Manufacturing,800000,real_estate,720,0,0,False,False,Stage 1,Term Loan,USD,US
LOAN002,BORR002,2019-06-01,2024-06-01,500000,0,6.2,Retail,300000,equipment,650,45,2,False,False,Stage 2,Term Loan,USD,US
LOAN003,BORR003,2018-03-10,2023-03-10,250000,100000,7.8,Construction,150000,equipment,580,120,5,False,True,Stage 3,Revolving Credit,USD,US
LOAN004,BORR004,2021-02-20,2026-02-20,750000,250000,4.8,Technology,900000,securities,780,0,0,False,False,Stage 1,Term Loan,USD,US
LOAN005,BORR005,2020-07-10,2025-07-10,2000000,1000000,5.2,Healthcare,1500000,real_estate,710,0,0,False,False,Stage 1,Term Loan,USD,US
LOAN006,BORR006,2019-11-05,2024-11-05,300000,0,8.5,Hospitality,200000,real_estate,600,35,1,False,False,Stage 2,Term Loan,USD,US
LOAN007,BORR007,2021-08-15,2026-08-15,1500000,500000,4.5,Financial Services,1800000,securities,750,0,0,False,False,Stage 1,Committed Line,USD,US
LOAN008,BORR008,2020-03-25,2025-03-25,400000,200000,6.8,Real Estate,600000,real_estate,680,10,1,False,False,Stage 1,Revolving Credit,USD,US
LOAN009,BORR009,2018-12-01,2023-12-01,600000,0,9.2,Retail,250000,inventory,550,95,4,True,False,Stage 3,Term Loan,USD,US
LOAN010,BORR010,2021-05-12,2026-05-12,850000,350000,5.0,Manufacturing,700000,equipment,730,0,0,False,False,Stage 1,Term Loan,USD,US
LOAN011,BORR011,2020-09-18,2025-09-18,950000,450000,5.8,Energy,1100000,equipment,695,20,1,False,False,Stage 1,Term Loan,USD,US
LOAN012,BORR012,2019-04-22,2024-04-22,1200000,0,7.5,Transportation,800000,equipment,620,60,3,False,False,Stage 2,Term Loan,USD,US
LOAN013,BORR013,2021-01-08,2026-01-08,550000,150000,4.2,Technology,650000,securities,770,0,0,False,False,Stage 1,Committed Line,USD,US
LOAN014,BORR014,2020-06-30,2025-06-30,1800000,800000,5.5,Healthcare,2000000,real_estate,740,0,0,False,False,Stage 1,Term Loan,USD,US
LOAN015,BORR015,2018-08-14,2023-08-14,350000,0,8.8,Hospitality,180000,real_estate,570,110,6,False,True,Stage 3,Term Loan,USD,US
LOAN016,BORR016,2021-03-05,2026-03-05,700000,300000,4.9,Financial Services,850000,securities,760,0,0,False,False,Stage 1,Revolving Credit,USD,US
LOAN017,BORR017,2020-10-20,2025-10-20,480000,120000,6.5,Manufacturing,400000,equipment,670,15,1,False,False,Stage 1,Term Loan,USD,US
LOAN018,BORR018,2019-07-15,2024-07-15,920000,0,7.2,Construction,650000,real_estate,640,50,2,False,False,Stage 2,Term Loan,USD,US
LOAN019,BORR019,2021-06-28,2026-06-28,1100000,400000,4.7,Technology,1300000,securities,755,0,0,False,False,Stage 1,Term Loan,USD,US
LOAN020,BORR020,2020-02-12,2025-02-12,640000,260000,6.0,Retail,480000,inventory,690,8,0,False,False,Stage 1,Revolving Credit,USD,US
LOAN021,BORR021,2019-09-30,2024-09-30,780000,0,7.8,Energy,550000,equipment,630,45,2,False,False,Stage 2,Term Loan,USD,US
LOAN022,BORR022,2021-04-18,2026-04-18,2200000,1000000,5.1,Healthcare,2500000,real_estate,745,0,0,False,False,Stage 1,Term Loan,USD,US
LOAN023,BORR023,2018-11-22,2023-11-22,425000,0,9.5,Hospitality,220000,real_estate,560,125,7,True,True,Stage 3,Term Loan,USD,US
LOAN024,BORR024,2020-08-07,2025-08-07,1350000,550000,5.3,Financial Services,1600000,securities,725,0,0,False,False,Stage 1,Committed Line,USD,US
LOAN025,BORR025,2021-02-14,2026-02-14,890000,310000,4.6,Technology,1050000,securities,765,0,0,False,False,Stage 1,Term Loan,USD,US
